Ingredient List,Sweeteners?
"Edible Vegetable Fat, NATURAL COLOUR (160a (i)), Cocoa Solids, PRESERVATIVE (INS234), Soy Sauce Powder (soybean, wheat, salt), ACIDITY REGULATORS (330, 331())",nil
"SWEETENERS( 951, 950), Food Colours (171, 110, 102),, Vitamin B2 (Riboflavin), Refined Palmolein oil, PRESERVATIVE-211","SWEETENERS( 951, 950)"
"ANTICIDANT [300], MILK SOLIDS, ACIDITY REGULATOR (INS 330), COCOA BUTTER, Red Chilli Powder",nil
"Guava Pulp, Antioxidant (INS 300)., L-cysteine, colour (INS 150d), RAISING AGENTS[503(ii),500 (ii),450(1)], SYNTHETIC FOOD COLOURS (E102 & E133)",nil
"Spices & Condiments, Cumin Seed, azodicarbonamide, beta-carotene, NATURAL COLOUR (150d), LEMON JUICE CONCENTRATE, Sodium Polyphosphate (Emulsifying Agent, E452(i))",nil
"Refined Wheat flour (Maida), iron or ferrous sulfate, Acidity Regulator(INS 330 & INS 260), beta carotene, Flavour Enhancers (INS 627&INS 631)., Orange B",nil
"ammonium hydroxide, Edible Vegetable Oil (Mustard Oil), Sweetener (960), L-methionine, SOYA FLOUR, Cellulose gel, SPICES AND CONDIMENTS ",Sweetener (960)
"APPLE ACIDITY REGULATOR 330, NATURAL CEREAL FIBRE, EDIBLE VEGETABLE OILS (PALM), Vitamin E, Sesame Seeds",nil
"Stabilizer (407), Rock Salt, COLOUR(S) (INS 150c, INS 150d), Maize Starch, Agave nectar, edible palm oil, mono- and diglycerides",Agave nectar
"Vitamin B2, L-lysine, Rock Salt, REFINED PALM OIL, and spices, REFINED WHEAT FLOUR",nil
"EDIBLE COMMON SALT, INVERT SUGAR SYRUP, Hydrogenated vegetable fat, Vitamin B2, FLAVOURING SUBSTANCES, ACIDITY REGULATOR (CITRIC ACID), Tertiary Butylhydroquinone (Antioxidant, E319)",INVERT SUGAR SYRUP
"Spices & Condiments, Vitamin B2, Refined Palm Oil, Stevia Leaf Extract, Yeast, Preservative (282)",Stevia Leaf Extract
"silicon dioxide, mannitol, alpha tocopherols, EMULSIFIERS [481(i), 471 & 472e], Acesulfame Potassium (Ace-K), Wheat flour (Maida), Organic Whole Millets Flour","mannitol, Acesulfame Potassium (Ace-K)"
"SPICES AND CONDIMENTS , Cinnamon, cocoa solids, Emulsifier (INS 322)",nil
"Guava Pulp, Edible vegetable oil (Palm oil), Thickeners (508 & 412), acesulfame potassium, Dehydrated Vegetables (carrot, parsley), beta-carotene, Bengal gram dal",acesulfame potassium
"Erythritol, Acidity Regulator (260), MANGO PULP, Edible Vegetable Fat, NATURAL ESSENTIAL OILS",Erythritol
"FD&C Red Nos. 3 and 40, Mineral (Zinc B, Vitamin E (Acetate), Antioxidant (INS 300).",nil
"Ragi, Anticaking Agent (INS 551), ANTICAKING AGENT(INS 554)",nil
"Gur (Jaggery), Natural flavoring, Acidity Regulator (260)",Gur (Jaggery)
"Mixed spices, Cinnamon, Refined sugar",Refined sugar
"HYDROGENATED VEGETABLE FAT, Acidity Regulator (INS 260), corn syrup, PRESERVATIVES (280, 281 & 200]",corn syrup
"Rice Flakes, Baking soda, Spices & Condiments, Spices, citric acid, Preservative (282), xanthan gum",nil
"Wheat Gluten, Flavour Enhancers E627 E631, Stevia Leaf Extract",Stevia Leaf Extract
"Class II Preservative (INS-211), autolyzed yeast extract, SWEETENERS( 951, 950)","SWEETENERS( 951, 950)"
"RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), Organic Whole Wheat Flour, IODISED SALT, Orange Fruit Powder, Flour Treatment Agent (1100), sugar",sugar
"Leavening agents ((5000), 503)), COCOA SOLIDS, Refined Wheat Flour (Maida), Xylitol, Edible vegetable oil (Palm oil)",Xylitol
"Acidity regulators (330&500()), Glycerin, ammonium phosphate, Edible Vegetable Oil (Mustard Oil), stabilizer (INS 170), FLAVOURING SUBSTANCE",nil
"sodium erythorbate, Xylitol, lactase",Xylitol
"calcium carbonate, HYDROGENATED VEGETABLE FAT, Cumin Seed, REFINED WHEAT FLOUR (53%), BUTTER, ORANGE JUICE",nil
"FLOUR, ANTIOXIDANT, Red Chilli Powder, Isomalt",Isomalt
"Salt, Ascorbic acid, Edible Vegetable Oil (Mustard Oil), Orange Fruit Powder, riboflavin, SPICES AND CONDIMENTS , niacinamide",nil
"Leavening agent , Acidity Regulator (INS 330), BLACK SALT, artificial flavor, WATER",nil
"SWEETENERS( 951, 950), high fructose corn syrup, EDIBLE VEGETABLE OILS (PALM), CLASS II PRESERVATIVE, carrageenan, acesulfame-K","SWEETENERS( 951, 950), high fructose corn syrup, acesulfame-K"
"L-cysteine, Potassium Chloride (Gelling Agent, E508), sodium benzoate, Potassium Carbonate (Acidity Regulator, E501(i)), Vitamin B1 (The chloride hydrochloride)",nil
"L-lysine, Toned Milk, fructose, Emulsifier (322), RICE FLOUR",fructose
"Flavour enhancer (635), EDIBLE VEGETABLE OIL (PALM), Flour Treatment Agent (1100), Monosodium glutamate, ACIDITY REGULATOR (INS 330)",nil
"Acidity Regular (INS-330), WATER, REFINED PALM OIL, STABILIZER (E 440), BUTTER, Dry Fruits powder, Tricalcium Phosphate",nil
"Soya Flour, Refined Palmolein oil, mannitol, artificial flavor",mannitol
"Antioxidant (INS 307b), Acesulfame Potassium (Ace-K), Anticaking Agent E551, Hydrogenated vegetable fats",Acesulfame Potassium (Ace-K)
"SYNTHETIC FOOD COLOURS (E102 & E133), Vitamin D, beta-carotene, niacin",nil
"polydextrose, acesulfame potassium, BHA, iron or ferrous sulfate, Rock Salt",acesulfame potassium
"Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), LEMON JUICE CONCENTRATE, Enzymes, ANTIOXIDANT (INS 322(1))",nil
"WHEAT GLUTEN, polysorbates, Molasses, Sunflower Oil, HYDROGENATED VEGETABLE OIL, Humectant (4510), Flax & Sesame Seeds",Molasses
"Emulsifier ((471),460()), Vitamin B1 (The chloride hydrochloride), Advantame, Sesame Seeds",Advantame
"SOYA FLOUR, High-fructose corn syrup (HFCS), rennet, sodium carbonate",High-fructose corn syrup (HFCS)
"Wheat Flour, Edible starch, Whole Wheat, Ammonium sulfate, hydrolyzed soy protein",nil
"Vitamin D, FD&C Green No. 3, Stabilisers (415, 466, 1400),, Emulsifier (322), Organic Whole Wheat Flour, Hydrogenated vegetable fat, tocopherols",nil
"ADDED ORANGE FLAVOURS , L-tryptophan, Stabilizer (407), cocoa solids",nil
"SYNTHETIC FOOD COLOURS (110, 102), Potassium Carbonate (Acidity Regulator, E501(i)), aspartame, Class II Preservative (INS-211), rennet",aspartame
"RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), BLACK SALT, FD&C Green No. 3",nil
"Tricalcium Phosphate, Organic Jaggery, Edible Vegetable Oil (Soyabean, Palmolein), High-fructose corn syrup (HFCS), Vitamins, iron or ferrous sulfate","Organic Jaggery, High-fructose corn syrup (HFCS)"
"OATS, Cinnamon, Acidity Regulator (INS-330), SYNTHETIC FOOD COLOUR-124, Agave syrup",Agave syrup
"Acidity regulators (330&500()), Emulsifier ((471),460()), EDTA, Acidity Regulator (260)",nil
"High-fructose corn syrup (HFCS), Wheat Gluten, Jaggery, Sucralose, Whole Wheat, Antioxidant(E300)","High-fructose corn syrup (HFCS), Jaggery, Sucralose"
"CHOCO CREAM, Sodium Benzoate (INS 211)., niacinamide",nil
"and spices, EDIBLE VEGETABLE OILS (PALM), Molasses, Gur (Jaggery), Edible Common salt","Molasses, Gur (Jaggery)"
"colour (INS 150d), acesulfame-K, APPLE ACIDITY REGULATOR 330, aspartame, Sesame Seeds","acesulfame-K, aspartame"
"PRESERVATIVE (211), NATURAL ESSENTIAL OILS, Vitamins, SYNTHETIC FOOD COLOURS, ROLLED OATS, Vitamin E",nil
"Cold Pressed Coconut Oil, SOYA FLOUR, Edible vegetable oil (Palm oil), Enzymes, OATS",nil
"colour (INS 150d), Agave nectar, Dry Fruits powder",Agave nectar
"Flax & Sesame Seeds, SYNTHETIC FOOD COLOURS (INS 102 & 133), Acidity Regular (INS-330), Guava Pulp, Soy lecithin, Organic Whole Wheat Flour",nil
"Maltodextrin, Potassium Chloride (Gelling Agent, E508), Acidity Regulator (INS 330)., Edible Vegetable Oil (Palmolein Oil), WATER, Brown sugar, Cocoa Solids","Maltodextrin, Brown sugar"
"Monosodium glutamate, Acidity Regulator (INS 330), amino acids, Flavour Enhancers E627 E631, riboflavin, Steviol Glycosides",Steviol Glycosides
"SYNTHETIC FOOD COLOUR (INS 133), Water, MIXED FRUIT, ascorbic acid, Flavour Enhancers E627 E631",nil
"INVERT SUGAR SYRUP, Antioxidant (INS 307b), Ascorbic acid, Steviol Glycosides, ACIDITY REGULATOR (CITRIC ACID)","INVERT SUGAR SYRUP, Steviol Glycosides"
"corn flour, NATURAL CEREAL FIBRE, Antioxidant (300)., ARTIFICIAL SWEETENERS",nil
"Maize Starch, and spices, RAISING AGENTS [503(ii),500(ii)], Acidity Regulator (260)",nil
"sucralose, Mixed spices, Sodium Benzoate (INS 211).",sucralose
"Antioxidant (INS 300)., ascorbic acid, Maple sugar, Jaggery, ANTIOXIDANT (INS 322(1))","Maple sugar, Jaggery"
"Acidity Regulator (E260), Acidity Regulator (330), beta-carotene, Palmolein, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), Potassium Carbonate (Acidity Regulator, E501(i)), Refined Soyabean Oil",nil
"ANTICIDANT [300], REFINED WHEAT FLOUR (53%), NATURAL SPICE EXTRACTS, Dry Fruits powder",nil
"rennet, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), EMULSIFIERS (322,412,472e,471), INVERT SUGAR SYRUP, Yeast",INVERT SUGAR SYRUP
"corn syrup, Iodized salt, Mannitol, Lactic acid, FD&C Blue Nos. 1 and 2, Acidity Regulator (INS 330)","corn syrup, Mannitol"
"Acidity Regulator (INS 330)., Calcium chloride, Rice Flakes, Edible Salt",nil
"Dehydrated Vegetables (carrot, parsley), Sucrose, corn flour, Malt Extract, Enzymes, Butter,  ACIDITY REGULATORS (330, 331())","Sucrose, Malt Extract"
"Ascorbic acid, calcium sorbate, BUTTER, EMULSIFIERS [481(i), 471 & 472e], COCOA SOLIDS",nil
"aspartame, COCOA SOLIDS, BLACK SALT",aspartame
"aspartame, PRESERVATIVE-211, FLAVOURING SUBSTANCES",aspartame
"microparticulated egg white protein, Ragi, Palm oil, Thiamine hydrochloride, COLOUR(S) (INS 150c, INS 150d), stabilizer (INS 170)",nil
"sorbitan monostearate, L-methionine, Thickener (508), hydrolyzed soy protein, EDTA, Purified Water, Soy lecithin",nil
"Food Colours (171, 110, 102),, L-methionine, sodium erythorbate, Gur (Jaggery), Edible Vegetable Oil (Palmolein Oil), Acidity Regulator (INS-330)",Gur (Jaggery)
"COCOA SOLIDS, NATURAL ESSENTIAL OILS, ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Flavour enhancer (635), Acidity Regulator(INS 330 & INS 260), REFINED WHEAT FLOUR (53%), ANTICAKING AGENT(INS 554)",nil
"lactase, Milk solids, ANTIOXIDANT, Acidity Regulator (INS 260), Antioxidant (300)., Palm oil, INVERT SUGAR SYRUP",INVERT SUGAR SYRUP
"Steviol Glycosides, SYNTHETIC FOOD COLOURS (110, 102), Ascorbic acid, calcium lactate, ANTICIDANT [300], disodium guanylate or inosinate, Flour Treatment Agent (1100)",Steviol Glycosides
"ROLLED OATS, REFINED WHEAT FLOUR, mannitol, ACIDITY REGULATOR (CITRIC ACID), Carbon dioxide, Enzymes, EDTA",mannitol
"FLAVOURING SUBSTANCES, HYDROGENATED VEGETABLE FAT, Refined Soyabean Oil, DOUGH CONDITIONER (223), CORN FLAKES, Dehydrated Vegetables (carrot, parsley), Agave nectar",Agave nectar
"EMULSIFIERS (322,472e,471), Acidity Regulator (330), fructose, RAISING AGENTS[503(ii),500 (ii),450(1)], Antioxidant (INS 320), Emulsifier (INS 322)",fructose
"chymosin, Orange B, acesulfame-K",acesulfame-K
"sodium benzoate, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, grape skin extract, SOYA FLOUR, aspartame, STABILIZER (E 440)",aspartame
"Enzymes, calcium sorbate, ANTIOXIDANT (INS 322(1)), Refined Wheat Flour (Maida)",nil
"Orange Fruit Powder, Acidity Regulator (E260), Citrus Red No. 2, Edible Vegetable Fat",nil
"Vitamin E, Iodized salt, Mannitol, Toned Milk Dahi, Maltitol, Saccharin, and spices","Mannitol, Maltitol, Saccharin"
"Orange B, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Stevia, Class II Preservatives (E282), potassium iodide, corn flour",Stevia
"Acidity Regulator (330), REFINED PALM OIL, Gur (Jaggery), ADDED ORANGE FLAVOURS , Hydrogenated vegetable fat, Edible Vegetable Oil (Soyabean, Palmolein), Maple sugar","Gur (Jaggery), Maple sugar"
" ACIDITY REGULATORS (330, 331()), modified food starch, ANTICAKING AGENT(INS 554), FD&C Blue Nos. 1 and 2",nil
"glucose, Emulsifier ((471),460()), Acidity Regular (INS-330), artificial flavor",glucose
"Stevia Leaf Extract, Acidity Regulator (INS 330), sodium benzoate, SYNTHETIC FOOD COLOUR-124, Glycerin, Malt Extract, modified food starch","Stevia Leaf Extract, Malt Extract"
"BHA, SYNTHETIC FOOD COLOURS (E102 & E133), Baking soda",nil
"L-tryptophan, beta-carotene, Sucralose, ORANGE JUICE, NATURAL ESSENTIAL OILS",Sucralose
"niacinamide, SYNTHETIC FOOD COLOURS (E102 & E133), Vitamin B1 (The chloride hydrochloride), GLUTEN, Edible Vegetable Oil (Mustard Oil), Edible Vegetable Fat, Hydrogenated vegetable fat",nil
"calcium lactate, Sunflower Oil, Stabilisers (415, 466, 1400),, EMULSIFIERS (322,472e,471), Maple sugar, Erythritol, Agave syrup","Maple sugar, Erythritol, Agave syrup"
"IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], paprika oleoresin, WHEAT FLOUR, Flavour Enhancers E627 E631",nil
"EMULSIFIER, colour (INS 150d), high fructose corn syrup, saffron, pectin",high fructose corn syrup
"Ferrous Citrate, Preservative (282), EDIBLE VEGETABLE OIL",nil
"calcium lactate, SWEETENER (955)., Edible Vegetable Fat",SWEETENER (955).
"Soy Sauce Powder (soybean, wheat, salt), ARTIFICIAL FLAVOURING SUBSTANCES, niacin, Cellulose gel, aspartame, Sorbitol, sucralose","aspartame, Sorbitol, sucralose"
"Leavening agent , COMMON SALT, STABILIZER (E 440), ACIDITY REGULATORS (330, 331())",nil
"Potassium Chloride (Gelling Agent, E508), IMPROVERS[170(1) 510], REFINED WHEAT FLOUR, saccharin",saccharin
"Acidity regulators (330&500()), CHOCO CREAM, Sesame Seeds, Acidity regulators (5000), 5010))&170(0)), Refined sugar, IMPROVERS[170(1) 510]",Refined sugar
"Rice Flakes, Emulsifier (Soya lecithin), Milk, SOYA FLOUR",nil
"Noodle powder, SWEETENER (955)., saffron, Baking soda",SWEETENER (955).
"Acesulfame Potassium (Ace-K), artificial flavor, high fructose corn syrup","Acesulfame Potassium (Ace-K), high fructose corn syrup"
"COCOA SOLIDS, edible palm oil, Noodle powder, ANTIOXIDANT",nil
"Acidity regulator (339(1)), Permitted Emulsifier (E481()), silicon dioxide, APPLE ACIDITY REGULATOR 330",nil
"L-leucine, mineral (Calcium carbonate), Emulsifier ((471),460()), polysorbates, Gur",Gur
"guar gum, High-fructose corn syrup (HFCS), Bengal gram dal, Soya Flour, Acidity regulator (339(1))",High-fructose corn syrup (HFCS)
"calcium propionate, REFINED WHEAT FLOUR, WHEAT FLOUR, ADDED ORANGE FLAVOUR, Acidity Regulator (E260), calcium lactate, saffron",nil
"Edible Common salt, egg yolks, ORANGE JUICE, corn syrup",corn syrup
"Erythritol, Spices & Condiments, Iodized salt, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), Agave syrup, EMULSIFIERS [481(i), 471 & 472e]","Erythritol, Agave syrup"
"Calcium chloride, Synthetic Food Colour (INS-122)(INS-124), REFINED PALM OIL, Thickeners (508 & 412)",nil
"OATS, Salt, Leavening agents ((5000), 503)), Emulsifier (322), Toned Milk, ammonium phosphate, MANGO PULP",nil
"Dry Fruits powder, MALTITOL (965), caramel color, Spices",MALTITOL (965)
"Soya Flour, Leavening agent , Palmolein, paprika oleoresin",nil
"Emulsifier (322), potassium iodide, L-cysteine, Invert Syrup",Invert Syrup
"Thickener (508), Baking soda, Dextrose, Wheat Flour, FD&C Yellow Nos. 5 and 6, Flavour Enhancers E627 E631, Sweetener (960)","Dextrose, Sweetener (960)"
"Acidity Regulator(INS 330 & INS 260), calcium lactate, Orange B, Toned Milk Dahi, Leavening Agent (INS 500 {i})",nil
"DOUGH CONDITIONER (223), Sorbitol, Ammonium sulfate, EMULSIFIER, FRUIT AND VEGETABLE EXTRACTS, WHOLE WHEAT FLOUR(ATTA), PRESERVATIVE-211",Sorbitol
"Sodium Polyphosphate (Emulsifying Agent, E452(i)), Bengal Gram , potassium iodide, Mineral (Zinc B, Vitamin E (Acetate)",nil
"sorbitan monostearate, GLUTEN, Stabilisers (415, 466, 1400),, potassium iodide, Ferrous Citrate",nil
"ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, NATURAL ESSENTIAL OILS, Edible Vegetable Fat",nil
"Wheat Gluten, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), REFINED WHEAT FLOUR (53%), NATURAL FOOD COLOUR (150), polydextrose, ANTICAKING AGENT(INS 554)",nil
"REFINED PALMOLEIN, Acidity Regular (INS-330), NATURAL FOOD COLOUR (150), Natural flavoring, saffron",nil
"REFINED PALMOLEIN, Antioxidant(E300), INVERT SUGAR SYRUP, L-leucine, REFINED WHEAT FLOUR (53%), COCOA BUTTER",INVERT SUGAR SYRUP
"NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, IODISED SALT, SYNTHETIC FOOD COLOURS (110, 102), SYNTHETIC FOOD COLOURS (INS 102 & 133), ARTIFICIAL FLAVOUR SUBSTANCES (ROSE)",nil
"Sorbitol, ACIDITY REGULATOR (CITRIC ACID), Edible Vegetable Oil (Mustard Oil), Flavour Enhancers E627 E631, Thickeners (508 & 412), Tomato Powder",Sorbitol
"Jaggery, whey, L-leucine",Jaggery
"Flavour enhancer (635), Class II Preservatives (E282), Invert Syrup, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415)",Invert Syrup
"CAFFEINE, silicon dioxide, Permitted Emulsifier (E481()), saffron, Red Chilli Powder, Leavening Agent (INS 500 {i}), Jaggery",Jaggery
"colour (INS 150d), Dehydrated Vegetables (carrot, parsley), Acidity regulators (5000), 5010))&170(0)), SYNTHETIC FOOD COLOURS (110, 102), Sucrose, NATURAL ESSENTIAL OILS, Tricalcium Phosphate",Sucrose
"Leavening Agent (INS 500 {i}), Asafoetida, Class II Preservative (INS-211), Emulsifier (322), ACIDITY REGULATORS (338, 331, 330), Sunflower Oil, Emulsifiers [471,481 (i)]",nil
"Cocoa Solids, Vitamin B1 (The chloride hydrochloride), EDIBLE COMMON SALT, Palmolein, Wheat flour (Maida), Peanut, sorbitol",sorbitol
"Maltodextrin, HYDROGENATED VEGETABLE OIL, NATURAL SPICE OILS",Maltodextrin
"calcium carbonate, PRESERVATIVE (211), Glycerin, Refined Wheat flour (Maida), ARTIFICIAL SWEETENERS, NATURAL SPICE EXTRACTS",nil
"Flax & Sesame Seeds, MILK SOLIDS, Acidity Regulator (INS 330), SYNTHETIC FOOD COLOUR (INS 133), Enzymes, sugar",sugar
"HYDROGENATED VEGETABLE FAT, Flour Treatment Agent (1100), mineral (Calcium carbonate), WHEAT FLOUR, lodized Salt, Leavening agent ",nil
"EDIBLE COMMON SALT, calcium carbonate, Refined Palm Oil, Iodized salt, Wheat flour (Maida), SYNTHETIC FOOD COLOURS (INS 102 & 133)",nil
"Tomato Powder, mineral (Calcium carbonate), citric acid, MANGO PULP, Flavour Enhancers E627 E631",nil
"EDIBLE VEGETABLE OILS (PALM), DOUGH CONDITIONER (223), Aspartame, Humectant (4510), Thickener (508), FD&C Green No. 3, ANTIOXIDANT (INS 322(1))",Aspartame
"Noodle powder, Edible common Sequestrant (339(1)), LEMON JUICE CONCENTRATE, ELAICHI FLAVOUR, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], EDIBLE COMMON SALT",nil
"Refined Wheat flour (Maida), Soy Sauce Powder (soybean, wheat, salt), Thiamine hydrochloride, Yeast",nil
"Acidity Regulator (INS-330), Enzymes, Vitamin D, egg yolks, Maltitol, Edible common Sequestrant (339(1))",Maltitol
"FD&C Blue Nos. 1 and 2, Antioxidant (INS 307b), ORANGE JUICE, Emulsifier (Soya lecithin)",nil
"Refined sugar, SYNTHETIC FOOD COLOURS (E102 & E133), Edible common Sequestrant (339(1))",Refined sugar
"chymosin, Vitamin B2 (Riboflavin), Hydrogenated vegetable fat, Edible Vegetable Fat, L-methionine, Refined Wheat flour (Maida), EDTA",nil
"Palmolein, EDTA,  ACIDITY REGULATORS (330, 331()), MANGO PULP, CAFFEINE",nil
"Whole Wheat Flour, FD&C Green No. 3, Class II Preservatives (E282)",nil
"Calcium silicate, Organic Whole Millets Flour, ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE",nil
"EMULSIFIERS (INS 322(1), INS 471)., Whole Wheat Flour, Synthetic Food Colour (INS-122)(INS-124), EMULSIFIERS [481(i), 471 & 472e], FRUIT AND VEGETABLE EXTRACTS",nil
"Mannitol, REFINED WHEAT FLOUR (53%), Antioxidant(E300), Antioxidant (300)., PRESERVATIVE-211",Mannitol
"Refined sugar, cocoa solids, rennet, Xylitol","Refined sugar, Xylitol"
"Purified Water, Maple sugar, Anticaking Agent (INS 551), RICE FLOUR, SYNTHETIC FOOD COLOURS (INS 102 & 133), MILK SOLIDS, silicon dioxide",Maple sugar
"ACIDITY REGULATOR (INS 330), ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Edible Salt",nil
"Vitamins, Palmolein, sodium nitrite",nil
"Carbon dioxide, Milk, Edible Vegetable Oil (Palmolein Oil), PRESERVATIVE (211), Flavour Enhancers E627 E631, EMULSIFIERS (E322, E476)., Sesame Seeds",nil
"Wheat Gluten, SYNTHETIC FOOD COLOURS (INS 102 & 133), calcium lactate, BLACK SALT, WHEAT FLOUR",nil
"xanthan gum, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Dry Fruits powder, Maple sugar",Maple sugar
"REFINED WHEAT FLOUR (53%), Emulsifiers [471,481 (i)], polysorbates, BLACK SALT, Sodium Polyphosphate (Emulsifying Agent, E452(i)), mono- and diglycerides",nil
"Guava Pulp, ammonium phosphate, acesulfame potassium",acesulfame potassium
"Antioxidant (INS 320), Sunflower Oil, saffron",nil
"Bengal gram dal, Milk Solids, APPLE ACIDITY REGULATOR 330",nil
"Tertiary Butylhydroquinone (Antioxidant, E319), FD&C Green No. 3, Acidity regulator (339(1)), Milk",nil
"Edible Common Salt, RAISING AGENTS [503 (ii), 500 (ii) ), Sodium Benzoate (INS 211).",nil
"Ferrous Citrate, Vitamin B1 (The chloride hydrochloride), Xylitol, ammonium hydroxide, modified food starch, STABILIZER (PECTIN) , guar gum",Xylitol
"EMULSIFIERS (322,472e,471), REFINED PALMOLEIN, whey protein concentrate, Steviol Glycosides, Advantame","Steviol Glycosides, Advantame"
"iron ammonium citrate, FLOUR, Toned Milk, Soy lecithin, Acesulfame Potassium (Ace-K), pectin",Acesulfame Potassium (Ace-K)
"ANTICAKING AGENT(INS 554), Citric Acid (Acidifying Agent, E330), Stabilizer (407), Edible Vegetable Fat, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, PRESERVATIVE-211, SYNTHETIC FOOD COLOURS",nil
"Sesame Seeds, FRUIT JUICE POWDER, Ammonium sulfate, sodium benzoate, GLUTEN",nil
"carrageenan, high fructose corn syrup,  ACIDITY REGULATORS (330, 331()), EMULSIFIERS (322,472e,471), CAFFEINE, Isomalt","high fructose corn syrup, Isomalt"
"Anticaking Agent (INS 551), WHEAT BRAN, Sucralose, Refined Palmolein oil, Monosodium glutamate",Sucralose
"ADDED ORANGE FLAVOURS , Edible Vegetable Oil (Mustard Oil), FRUIT JUICE POWDER, Refined Wheat flour (Maida), EDIBLE VEGETABLE OIL (PALM), HYDROGENATED VEGETABLE FAT, Glycerin",nil
"EDIBLE VEGETABLE OIL (PALM), ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN, caramel color, Antioxidant (INS 300)., Asafoetida, Soy lecithin, Edible common Sequestrant (339(1))",nil
"saccharin, disodium guanylate or inosinate, potassium sorbate, Acidity regulators (330&500()), and spices, Cocoa solids",saccharin
"RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), Orange Juice Concentrate,  ACIDITY REGULATORS (330, 331()), Vitamins",nil
"Cocoa Solids, carrageenan, WHEAT FLOUR, Flax & Sesame Seeds, FD&C Red Nos. 3 and 40, edible palm oil, Baking soda",nil
"Artificial flavoring substance., ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), BHA, Water, BLACK SALT",nil
"riboflavin, ARTIFICIAL SWEETENERS, RICE FLOUR",nil
"SOYA FLOUR, Ferrous Citrate, Organic Whole Millets Flour, Baking soda, L-leucine, FLAVOURING SUBSTANCES-CHOCOLATE, Antioxidant (INS 320)",nil
"CARBONATED WATER, Ferrous Citrate, colour (INS 150d), Orange Juice Concentrate",nil
"ascorbic acid, Vitamins, SYNTHETIC FOOD COLOUR-124, Double Toned Milk",nil
"potassium iodide, Acidity Regulator (260), Emulsifier (322), BHT, Steviol Glycosides, Edible Vegetable Oil (Soyabean, Palmolein), Jaggery","Steviol Glycosides, Jaggery"
"PRESERVATIVE-211, BHT, Cumin Seed, SYNTHETIC FOOD COLOURS (INS 102 & 133), EMULSIFIERS (E322, E476).",nil
"ARTIFICIAL FLAVOURING SUBSTANCES, Acidity regulators (5000), 5010))&170(0)), PRESERVATIVE-211, Edible Common salt",nil
"Edible Common Salt, Sunflower Oil, Acidity regulator (339(1)), SWEETENERS( 951, 950), beta carotene, autolyzed yeast extract","SWEETENERS( 951, 950)"
"Anticaking Agent (INS 551), EDIBLE VEGETABLE OIL (PALM), Organic Jaggery, Acidity Regulator (260), ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Guava Pulp",Organic Jaggery
"carrageenan, Anticaking Agent E551, Noodle powder, Cumin Seed, Xylitol, DOUGH CONDITIONER (223), FRUIT JUICE POWDER",Xylitol
"polydextrose, rennet, Citric Acid (Acidifying Agent, E330), Soy Sauce Powder (soybean, wheat, salt), Antioxidant(E300), sodium erythorbate",nil
"Vitamins, Refined Wheat Flour (Maida), LEMON JUICE CONCENTRATE",nil
"calcium carbonate, Lactic acid, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Acidity regulators (5000), 5010))&170(0)), Peas, Acidity regulators (330&500())",nil
"SYNTHETIC FOOD COLOURS (INS 102 & 133), SYNTHETIC FOOD COLOUR-124, guar gum",nil
"Ferrous Citrate, Rice Flakes, caramel color, Antioxidant (INS 307b), Edible Common salt, Neotame, Ammonium sulfate",Neotame
"NATURAL ESSENTIAL OILS, Edible Vegetable Oil (Palmolein Oil), Milk solids",nil
